kepid,koi,per,adivr,delta,derror,host_radius,numstars,logg,logg_errup,logg_errdown,teff,teff_errup,teff_errdown,feh,feh_errup,feh_errdown,parallax,parallax_error,kepmag,jmag,hmag,kmag,gmag,rmag,imag,zmag
9221517,2281,0.76985432,5.77,106.0,4.0,0.789,30677.834622743896,4.53,0.04,-0.04,5080.0,65.0,-65.0,0.16,0.04,-0.04,2.6232752707458706,0.01673862504592621,13.829,12.416,11.977,11.884,14.515,13.748,13.535,13.403
9456281,4207,0.70194345,8.68,216.0,32.0,0.635,61152.58532845985,4.637,0.021,-0.036000000000000004,4215.8,72.2,-41.0,0.03,0.11,-0.10400000000000001,2.554157854178581,0.026784274804035814,15.397,13.41,12.788,12.663,16.615,15.346,14.875,14.584
9472074,2735,0.55884253,5.33,284.0,17.0,0.8,84722.51949912925,4.553,0.027000000000000003,-0.038,5022.8,90.8,-85.6,0.11199999999999999,0.125,-0.129,1.1906934063587158,0.0385848653436603,15.6,14.148,13.676,13.569,16.348,15.53,15.28,15.152
9473078,2079,0.69384332,3.47,46.0,2.0,0.973,9464.725816812232,4.38,0.08,-0.09,5477.0,68.0,-66.0,0.38,0.04,-0.04,2.7291110280502093,0.026231923905847502,12.953,11.66,11.311,11.212,13.522,12.869,12.709,12.649
9580167,2548,0.82715274,4.87,270.0,34.0,0.746,77016.27145092886,4.567,0.027999999999999997,-0.025,4808.6,81.9,-73.2,-0.005,0.113,-0.105,1.965488847931939,0.023774729104950626,14.992,13.272,12.72,12.657,15.753,14.846,14.666,14.461
10024051,2409,0.57736948,3.94,395.0,8.0,0.6990000000000001,88323.28503221691,4.66,0.03,-0.02,4774.0,65.0,-66.0,-0.59,0.04,-0.04,1.9113810286874344,0.020258635092909517,14.859,13.382,12.877,12.798,15.505,14.806,14.582,14.46
10028535,2493,0.66308666,4.55,321.0,12.0,0.841,87145.23948646938,4.497,0.039,-0.033,5098.3,92.2,-83.1,0.051,0.133,-0.129,1.2130996323847942,0.025012006205023894,15.304,13.871,13.339,13.279,16.013,15.204,15,14.834
10319385,1169,0.68920948,3.22,187.0,2.0,1.048,78259.73291644572,4.36,0.09,-0.09,5634.0,66.0,-64.0,0.11,0.04,-0.04,1.9581216251610913,0.012222567715084308,13.248,12.102,11.768,11.714,13.661,13.175,13.071,13.01
10468885,2589,0.66407444,4.66,221.0,19.0,0.8370000000000001,76553.96076399808,4.496,0.039,-0.031,5040.9,95.8,-85.8,0.079,0.129,-0.12300000000000001,1.1051689467792067,0.029975984719950027,15.645,14.162,13.753,13.571,16.377,15.579,15.33,15.193
10647452,4366,0.76295078,5.83,197.0,18.0,0.81,67812.7668441195,4.53,0.05,-0.06,5269.0,66.0,-63.0,-0.11,0.04,-0.04,1.0502322909762443,0.028578869544688593,15.556,14.226,13.823,13.731,16.184,15.51,15.287,15.161
10975146,1300,0.63133223,4.33,423.0,5.0,0.713,89196.1849620289,4.58,0.03,-0.03,4764.0,63.0,-65.0,0.03,0.04,-0.04,2.9135483172845404,0.12613467719811905,14.285,12.554,12.01,11.878,15.235,14.274,13.878,13.647
11401182,1428,0.92785963,5.17,492.0,5.0,0.687,88991.94891985868,4.6,0.03,-0.03,4776.0,64.0,-65.0,-0.11,0.04,-0.04,2.2911069726365785,0.017492997737671497,14.631,13.093,12.567,12.515,15.442,14.568,14.283,14.158
11547505,1655,0.93846561,5.43,206.0,5.0,0.907,72097.33613643516,4.45,0.07,-0.07,5536.0,64.0,-65.0,-0.07,0.04,-0.04,1.8356742647406132,0.0133087729879725,13.757,12.612,12.259,12.188,14.219,13.706,13.559,13.528
11600889,1442,0.66931017,3.12,122.0,2.0,1.032,57116.44710229254,4.26,0.09,-0.1,5568.0,58.0,-70.0,0.39,0.04,-0.04,2.9266171173536932,0.021783973657522927,12.521,11.332,10.983,10.91,13.046,12.442,12.296,12.235
11752632,2492,0.9849389,3.67,75.0,4.0,1.091,25648.443156567693,4.37,0.08,-0.09,5635.0,62.0,-60.0,-0.31,0.04,-0.04,1.3648488400362502,0.01693435079277612,13.835,12.762,12.387,12.381,14.238,13.778,13.663,13.624
11870545,1510,0.8399616,5.1,521.0,19.0,0.6679999999999999,89832.52028749028,4.631,0.021,-0.026000000000000002,4848.9,88.0,-84.8,-0.298,0.134,-0.157,1.2884127043684863,0.031097946009331915,15.929,14.346,13.897,13.872,16.742,15.866,15.581,15.414
11904151,72,0.8374906,3.49,177.0,1.0,1.0659999999999998,74205.15707123256,4.34,0.08,-0.1,5599.0,66.0,-65.0,-0.11,0.04,-0.04,5.3618456769911145,0.023300853122699073,10.961,9.888,9.563,9.496,11.388,10.92,10.778,10.729
12265786,4595,0.59701811,8.41,268.0,41.0,0.7709999999999999,81592.04948614804,4.5489999999999995,0.032,-0.027999999999999997,4851.1,80.6,-75.3,0.055,0.12300000000000001,-0.11599999999999999,1.3241685542249968,0.02760862001553534,15.509,14.041,13.548,13.398,16.234,15.459,15.198,15.04
12405333,3009,0.76486301,5.05,154.0,13.0,0.78,51639.181616973074,4.55,0.04,-0.05,5110.0,65.0,-64.0,0.17,0.04,-0.04,1.410398662830403,0.02014651360610437,15.168,13.775,13.295,13.247,15.863,15.11,14.87,14.767
5773121,4002,0.52417582,4.98,240.0,11.0,0.825,81613.66901011685,4.53,0.04,-0.06,5207.0,64.0,-64.0,0.2,0.04,-0.04,1.3726143861259936,0.025217741106094396,15.04,13.685,13.256,13.148,15.715,14.96,14.751,14.632
5980208,2742,0.78916057,6.41,225.0,12.0,0.614,59329.810934528934,4.657,0.017,-0.022000000000000002,4255.0,86.5,-72.1,-0.08199999999999999,0.11,-0.107,3.1042372438636616,0.02525804361335174,15.031,13.083,12.419,12.317,16.249,15.004,14.509,14.252
8416523,4441,0.341842,2.72,279.0,6.0,0.746,86388.0562826046,4.57,0.03,-0.03,4888.0,65.0,-65.0,0.06,0.04,-0.04,1.8191155193419957,0.021205871571382665,14.915,13.388,12.923,12.82,15.673,14.844,14.59,14.452
9353742,3867,0.93875053,5.15,272.0,7.0,0.935,83205.68259900686,4.42,0.07,-0.09,5566.0,67.0,-63.0,0.14,0.04,-0.04,1.1269379926875898,0.023687361466218727,14.86,13.654,13.303,13.182,15.378,14.784,14.638,14.512
9475552,2694,0.84338039,4.58,337.0,7.0,0.736,83488.87238694605,4.56,0.03,-0.03,4787.0,65.0,-66.0,0.23,0.04,-0.04,2.0510429469062847,0.02456243551386206,14.975,13.33,12.807,12.683,15.898,14.897,14.579,14.383
